Column1,name,location,area_sqft,washrooms,bedrooms,city ,status,price,parking,ac,hardwood_floors,dishwasher,Fireplace,country,roofdeck, storage,pets
20,"3 BHK Apartment in Vishwanath SamamShela, Ahmedabad","Shela, Ahmedabad",1450,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
21,"2 BHK Apartment in Swati FlorenceBopal, Ahmedabad","Bopal, Ahmedabad",1450,No Deposit3 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"30,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
22,"2 BHK Apartment in Goyal And Co And HN Safal Aakash Residency Phase 2Shela, Ahmedabad","Shela, Ahmedabad",1175,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
23,"3 BHK Apartment in Swati FlorenceBopal, Ahmedabad","Bopal, Ahmedabad",1440,No Deposit3 bathrooms,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
24,"3 BHK Apartment in Shivalik Sharda Park view 2Shela, Ahmedabad","Shela, Ahmedabad",1450,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
25,"3 BHK Apartment in Goyal And Co And HN Safal Orchid DivineBopal, Ahmedabad","Bopal, Ahmedabad",1400,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
26,"2 BHK Apartment in Sapphire Swapneel ElysiumBopal, Ahmedabad","Bopal, Ahmedabad",1415,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"22,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
27,"3 BHK Apartment in Ansh AarambhBopal, Ahmedabad","Bopal, Ahmedabad",1440,No Deposit1 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"27,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
28,"3 BHK Apartment in GSG Abode Orchid SkyShela, Ahmedabad","Shela, Ahmedabad",1450,No Deposit3 bathrooms,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"19,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
29,"3 BHK Apartment in Vishwanath Maher Homes 3Shela, Ahmedabad","Shela, Ahmedabad",1450,No Deposit3 bathrooms,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
30,"3 BHK Apartment in Vishwanath Maher Homes 2Shela, Ahmedabad","Shela, Ahmedabad",1425,No Deposit3 bathrooms,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"17,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
31,"3 BHK Apartment in Arista BelvistaAmbli, Ahmedabad","Ambli, Ahmedabad",2350,No Deposit3 bathrooms,3 BHK Rental Property in Ambli Ahmedabad:,Ahmedabad,FurnishedStatus,"70,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
32,"2 BHK Apartment in Goyal And Co And HN Safal Aakash Residency Phase 2Shela, Ahmedabad","Shela, Ahmedabad",1100,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,UnfurnishedStatus,"13,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
33,"2 BHK Apartment in Goyal And Co And HN Safal Orchid EleganceBopal, Ahmedabad","Bopal, Ahmedabad",1250,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,UnfurnishedStatus,"17,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
