Column1,name,location,area_sqft,washrooms,bedrooms,city ,status,price,parking,ac,hardwood_floors,dishwasher,Fireplace,country,roofdeck, storage,pets
189,"2 BHK ApartmentChandkheda, Ahmedabad","Chandkheda, Ahmedabad",1080,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"13,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
190,"3 BHK ApartmentBopal, Ahmedabad","Bopal, Ahmedabad",1850,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"26,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
191,"2 BHK Apartment in Goyal Orchid WhitefieldMakarba, Ahmedabad","Makarba, Ahmedabad",1400,No Deposit2 bathroomsNorthEast facing,2 BHK Rental Property in Makarba Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"19,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
192,"1 RK Studio ApartmentHansol, Ahmedabad","Hansol, Ahmedabad",350,No Deposit2 bathrooms,1 RK Rental Property in Hansol Ahmedabad:,Ahmedabad,FurnishedStatus,"3,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
193,"2 BHK ApartmentShela, Ahmedabad","Shela, Ahmedabad",1295,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,FurnishedStatus,"22,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
194,"3 BHK ApartmentBopal, Ahmedabad","Bopal, Ahmedabad",1795,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"26,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
195,"2 BHK ApartmentBopal, Ahmedabad","Bopal, Ahmedabad",1275,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"24,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
196,"2 BHK ApartmentBopal, Ahmedabad","Bopal, Ahmedabad",1285,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"15,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
197,"3 BHK ApartmentBopal, Ahmedabad","Bopal, Ahmedabad",1890,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"24,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
198,"3 BHK ApartmentBopal, Ahmedabad","Bopal, Ahmedabad",1792,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"28,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
199,"2 BHK ApartmentShela, Ahmedabad","Shela, Ahmedabad",1265,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"14,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
200,"4 BHK Apartment in HRG VerantesThaltej, Ahmedabad","Thaltej, Ahmedabad",5100,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Thaltej Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,1.1 LPrice,not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
201,"2 BHK ApartmentThaltej, Ahmedabad","Thaltej, Ahmedabad",1010,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Thaltej Ahmedabad:,Ahmedabad,FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
202,"3 BHK Apartment in Applewoods SorrelShela, Ahmedabad","Shela, Ahmedabad",1880,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
203,"3 BHK Apartment in Nishant Ratnaakar 4Satellite, Ahmedabad","Satellite, Ahmedabad",2070,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,FurnishedStatus,"36,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
204,"2 BHK Apartment in Goyal And Co And HN Safal Orchid ParadiseBopal, Ahmedabad","Bopal, Ahmedabad",1220,No Deposit2 bathrooms,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"27,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
205,"3 BHK Apartment in Goyal And Co And HN Safal Orchid HeavenShela, Ahmedabad","Shela, Ahmedabad",1725,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"21,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
206,"3 BHK Apartment in JP Iscon PlatinumBopal, Ahmedabad","Bopal, Ahmedabad",1985,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"29,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
207,"2 BHK Apartment in Goyal And Co And HN Safal Orchid ParadiseBopal, Ahmedabad","Bopal, Ahmedabad",1220,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"27,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
208,"3 BHK Apartment in Goyal And Co And HN Safal Orchid DivineBopal, Ahmedabad","Bopal, Ahmedabad",1410,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
209,"4 BHK VillaThaltej, Ahmedabad","Thaltej, Ahmedabad",3000,No Deposit4 bathrooms,4 BHK Rental Property in Thaltej Ahmedabad:,Ahmedabad,FurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
210,"3 BHK Apartment in Vaibhav PlatinaShilaj, Ahmedabad","Shilaj, Ahmedabad",1550,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"17,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
211,"3 BHK Apartment in Sheladia Pachamrut ApartmentsBodakdev, Ahmedabad","Bodakdev, Ahmedabad",3200,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,FurnishedStatus,"60,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
212,"2 BHK ApartmentSouth Bopal, Ahmedabad","South Bopal, Ahmedabad",1270,No Deposit2 bathroomsEast facing,2 BHK Rental Property in South Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"14,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
213,"2 BHK Apartment in Aaryan GloriaBopal, Ahmedabad","Bopal, Ahmedabad",1265,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
214,"3 BHK ApartmentSouth Bopal, Ahmedabad","South Bopal, Ahmedabad",1500,No Deposit3 bathrooms,3 BHK Rental Property in South Bopal Ahmedabad:,Ahmedabad,UnfurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
215,"3 BHK Apartment in Saanvi Nirman StellaBopal, Ahmedabad","Bopal, Ahmedabad",1500,No Deposit3 bathrooms,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"23,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
216,"3 BHK Apartment in Deep Indraprasth LivingBopal, Ahmedabad","Bopal, Ahmedabad",1500,No Deposit3 bathrooms,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
217,"2 BHK Apartment in DB Diwali HomesChandkheda, Ahmedabad","Chandkheda, Ahmedabad",945,"20,000 depositavailability immediately2 bathrooms",2 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"10,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
218,"3 BHK Apartment in Festival Residency 2Near Vaishno Devi Circle On SG Highway, Ahmedabad","Near Vaishno Devi Circle On SG Highway, Ahmedabad",1750,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Near Vaishno Devi Circle On SG Highway Ahmedabad:,Ahmedabad,UnfurnishedStatus,"16,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
219,"3 BHK Apartment in Saral Aditya 24Chandkheda, Ahmedabad","Chandkheda, Ahmedabad",1850,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,FurnishedStatus,"30,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
220,"2 BHK Apartment in  Someshwara Annexe TowerSatellite, Ahmedabad","Satellite, Ahmedabad",1400,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"16,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
221,"3 BHK Apartment in  Avalon 60Motera, Ahmedabad","Motera, Ahmedabad",1700,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Motera Ahmedabad:,Ahmedabad,FurnishedStatus,"27,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
222,"2 BHK Apartment in Shukan Shukan PlatinumGota, Ahmedabad","Gota, Ahmedabad",1200,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Gota Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"12,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
223,"3 BHK ApartmentNew Ranip, Ahmedabad","New Ranip, Ahmedabad",1530,No Deposit3 bathroomsEast facing,3 BHK Rental Property in New Ranip Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
224,"2 BHK Apartment in Deep Indraprasth HomesPrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",1050,No Deposit1 bathroomsEast facing,2 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
225,"2 BHK Apartment in Nila Spaces AsmaakamVejalpur, Ahmedabad","Vejalpur, Ahmedabad",1000,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Vejalpur Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"14,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
226,"2 BHK Apartment in Godrej Garden CityGota, Ahmedabad","Gota, Ahmedabad",1262,No Deposit2 bathroomsNorthWest facing,2 BHK Rental Property in Gota Ahmedabad:,Ahmedabad,UnfurnishedStatus,"13,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
227,"3 BHK Apartment in Swati ChrysanthaShela, Ahmedabad","Shela, Ahmedabad",1440,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
228,"2 BHK Apartment in Aaryan GloriaBopal, Ahmedabad","Bopal, Ahmedabad",999,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,UnfurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
229,"2 BHK Apartment in Deep Satyadeep HeightsMakarba, Ahmedabad","Makarba, Ahmedabad",1050,No Deposit2 bathrooms,2 BHK Rental Property in Makarba Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"17,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
230,"5 BHK Villa in BR Poonam PrideShela, Ahmedabad","Shela, Ahmedabad",6300,No Deposit4 bathroomsEast facing,5 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"50,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
231,"3 BHK Apartment in Binori SolitaireBopal, Ahmedabad","Bopal, Ahmedabad",2215,No Deposit3 bathrooms,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"52,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
232,"4 BHK Villa in Madhav Group Ahmedabads Kamalnayan BungalowsBopal, Ahmedabad","Bopal, Ahmedabad",3000,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
233,"3 BHK Apartment in Godrej Garden CityGota, Ahmedabad","Gota, Ahmedabad",1372,No Deposit2 bathroomsNorthWest facing,3 BHK Rental Property in Gota Ahmedabad:,Ahmedabad,UnfurnishedStatus,"15,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
234,"3 BHK ApartmentChandkheda, Ahmedabad","Chandkheda, Ahmedabad",2000,No Deposit3 bathroomsNorthWest facing,3 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
235,"2 BHK ApartmentShilaj, Ahmedabad","Shilaj, Ahmedabad",2000,No Deposit2 bathroomsNorthWest facing,2 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
236,"3 BHK ApartmentPaldi, Ahmedabad","Paldi, Ahmedabad",2000,No Deposit3 bathroomsNorthWest facing,3 BHK Rental Property in Paldi Ahmedabad:,Ahmedabad,UnfurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
237,"4 BHK ApartmentBodakdev, Ahmedabad","Bodakdev, Ahmedabad",2000,No Deposit4 bathroomsNorthWest facing,4 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"40,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
238,"1 BHK ApartmentShela, Ahmedabad","Shela, Ahmedabad",1000,No Deposit1 bathroomsNorthWest facing,1 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"14,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
239,"4 BHK Apartment in Goyal TerraceBodakdev, Ahmedabad","Bodakdev, Ahmedabad",2800,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"43,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
240,"3 BHK Apartment in Goyal AmaltasAmbli, Ahmedabad","Ambli, Ahmedabad",1750,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Ambli Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"28,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
241,"3 BHK Apartment in Gala EterniaThaltej, Ahmedabad","Thaltej, Ahmedabad",1745,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Thaltej Ahmedabad:,Ahmedabad,FurnishedStatus,"50,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
242,"3 BHK Apartment in Anand Realty Developers Sukirti ParkAnand Nagar, Ahmedabad","Anand Nagar, Ahmedabad",2025,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Anand Nagar Ahmedabad:,Ahmedabad,FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
243,"4 BHK Apartment in Aaryan Homes 2Shilaj, Ahmedabad","Shilaj, Ahmedabad",2300,No Deposit3 bathroomsEast facing,4 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,UnfurnishedStatus,"30,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
244,"3 BHK Apartment in Binori MonetaVastrapur, Ahmedabad","Vastrapur, Ahmedabad",1750,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Vastrapur Ahmedabad:,Ahmedabad,FurnishedStatus,"45,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
245,"4 BHK Independent HouseShilaj, Ahmedabad","Shilaj, Ahmedabad",5000,No Deposit4 bathroomsNorthEast facing,4 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,FurnishedStatus,"60,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
246,"4 BHK Independent HouseBodakdev, Ahmedabad","Bodakdev, Ahmedabad",5400,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,FurnishedStatus,1.25 LPrice,not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
247,"3 BHK Apartment in Leela Buildcon and Infrastructure Leela PalakThaltej, Ahmedabad","Thaltej, Ahmedabad",2000,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Thaltej Ahmedabad:,Ahmedabad,FurnishedStatus,"45,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
248,"2 BHK Apartment in Vishwanath Sharanam 8Jodhpur Village, Ahmedabad","Jodhpur Village, Ahmedabad",1125,No Deposit2 bathrooms,2 BHK Rental Property in Jodhpur Village Ahmedabad:,Ahmedabad,FurnishedStatus,"26,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
249,"2 BHK ApartmentJodhpur, Ahmedabad","Jodhpur, Ahmedabad",1125,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Jodhpur Ahmedabad:,Ahmedabad,FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
250,"2 BHK ApartmentJodhpur, Ahmedabad","Jodhpur, Ahmedabad",1125,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Jodhpur Ahmedabad:,Ahmedabad,FurnishedStatus,"30,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
251,"3 BHK Apartment in Radhe TirthdhamSatellite, Ahmedabad","Satellite, Ahmedabad",1810,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"22,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
252,"4 BHK Apartment in Earth EleganceBodakdev, Ahmedabad","Bodakdev, Ahmedabad",3100,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,FurnishedStatus,"75,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
253,"3 BHK Apartment in JP Iscon PlatinumBopal, Ahmedabad","Bopal, Ahmedabad",2600,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"65,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
254,"3 BHK ApartmentJodhpur, Ahmedabad","Jodhpur, Ahmedabad",1750,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Jodhpur Ahmedabad:,Ahmedabad,FurnishedStatus,"40,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
255,"3 BHK ApartmentJodhpur, Ahmedabad","Jodhpur, Ahmedabad",1750,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Jodhpur Ahmedabad:,Ahmedabad,FurnishedStatus,"40,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
256,"2 BHK ApartmentJodhpur, Ahmedabad","Jodhpur, Ahmedabad",1125,No Deposit2 bathrooms,2 BHK Rental Property in Jodhpur Ahmedabad:,Ahmedabad,FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
257,"4 BHK Apartment in Goyal Riviera HeightsPrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",3510,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,FurnishedStatus,"80,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
258,"2 BHK ApartmentJodhpur, Ahmedabad","Jodhpur, Ahmedabad",1125,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Jodhpur Ahmedabad:,Ahmedabad,FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
259,"3 BHK ApartmentPrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",2500,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
260,"3 BHK ApartmentPrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",2750,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,FurnishedStatus,"75,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
261,"3 BHK Apartment in  Hetvee TowerSatellite, Ahmedabad","Satellite, Ahmedabad",2200,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,FurnishedStatus,"33,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
262,"4 BHK Apartment in Popular DomainSatellite, Ahmedabad","Satellite, Ahmedabad",3850,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,FurnishedStatus,1.15 LPrice,not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
263,"3 BHK ApartmentBodakdev, Ahmedabad","Bodakdev, Ahmedabad",1850,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"32,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
264,"2 BHK Apartment in Gala CelestiaNear Nirma University On SG Highway, Ahmedabad","Near Nirma University On SG Highway, Ahmedabad",1350,No Deposit2 bathrooms,2 BHK Rental Property in Near Nirma University On SG Highway Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"12,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
265,"3 BHK Apartment in Ganesh Malabar County IINear Nirma University On SG Highway, Ahmedabad","Near Nirma University On SG Highway, Ahmedabad",1530,No Deposit3 bathroomsNorth facing,3 BHK Rental Property in Near Nirma University On SG Highway Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
266,"3 BHK Independent House in Savvy Swaraaj Pragati Ph 2CGota, Ahmedabad","Gota, Ahmedabad",1620,No Deposit3 bathrooms,3 BHK Rental Property in Gota Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"23,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
267,"1 BHK Apartment in satyesh residency yShela, Ahmedabad","Shela, Ahmedabad",1000,"32,000 depositavailability immediately1 bathrooms",1 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
268,"2 BHK ApartmentNirnay Nagar, Ahmedabad","Nirnay Nagar, Ahmedabad",1200,No Deposit2 bathrooms,2 BHK Rental Property in Nirnay Nagar Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"14,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
269,"2 BHK ApartmentNirnay Nagar, Ahmedabad","Nirnay Nagar, Ahmedabad",1080,No Deposit2 bathrooms,2 BHK Rental Property in Nirnay Nagar Ahmedabad:,Ahmedabad,UnfurnishedStatus,"10,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
270,"2 BHK ApartmentGhatlodiya, Ahmedabad","Ghatlodiya, Ahmedabad",1400,No Deposit1 bathrooms,2 BHK Rental Property in Ghatlodiya Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"12,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
271,"2 BHK ApartmentGhatlodiya, Ahmedabad","Ghatlodiya, Ahmedabad",800,No Deposit2 bathrooms,2 BHK Rental Property in Ghatlodiya Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"12,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
272,"5 BHK Independent HouseBodakdev, Ahmedabad","Bodakdev, Ahmedabad",2400,No Deposit3 bathrooms,5 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,FurnishedStatus,"50,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
273,"1 BHK ApartmentGhatlodiya, Ahmedabad","Ghatlodiya, Ahmedabad",540,No Deposit1 bathrooms,1 BHK Rental Property in Ghatlodiya Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"8,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
274,"1 RK Studio Apartment in Maruti CeledronBodakdev, Ahmedabad","Bodakdev, Ahmedabad",150,"26,000 depositavailability immediately1 bathrooms",1 RK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,FurnishedStatus,"26,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
275,"3 BHK VillaMemnagar, Ahmedabad","Memnagar, Ahmedabad",3000,No Deposit5 bathrooms,3 BHK Rental Property in Memnagar Ahmedabad:,Ahmedabad,FurnishedStatus,"40,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
276,"2 BHK Independent HouseSatellite, Ahmedabad","Satellite, Ahmedabad",400,No Deposit,2 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,FurnishedStatus,"4,990 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
